Timestamp (JD), File Timestamp (JD), Obj1 : Signal-to-Noise Ratio, Obj1 : Instrument Magnitude (Centroid), Obj1 : Magnitude (Centroid), Ref1 : Signal-to-Noise Ratio, Ref1 : Instrument Magnitude (Centroid), Ref1 : Magnitude (Centroid), Chk1 : Signal-to-Noise Ratio, Chk1 : Instrument Magnitude (Centroid), Chk1 : Magnitude (Centroid), Chk2 : Signal-to-Noise Ratio, Chk2 : Instrument Magnitude (Centroid), Chk2 : Magnitude (Centroid), Chk3 : Signal-to-Noise Ratio, Chk3 : Instrument Magnitude (Centroid), Chk3 : Magnitude (Centroid)
2459271.73,2459271.73,211.557,16.654,11.97,553.06,15.584,10.9,90.657,17.53,12.846,830.271,15.134,10.45,107.186,17.376,12.692
2459271.731,2459271.731,204.2,16.67,11.978,559.421,15.592,10.9,95.667,17.498,12.806,825.942,15.136,10.444,105.903,17.377,12.686
2459271.732,2459271.732,201.574,16.67,11.965,545.299,15.606,10.9,89.615,17.572,12.866,821.793,15.136,10.43,105.116,17.397,12.691
2459271.732,2459271.732,207.215,16.68,11.97,535.879,15.611,10.9,88.271,17.562,12.851,819.834,15.143,10.432,105.79,17.385,12.675
2459271.733,2459271.733,204.325,16.689,11.985,549.074,15.604,10.9,92.419,17.541,12.837,811.292,15.143,10.439,106.341,17.385,12.681
2459271.733,2459271.733,202.681,16.684,11.991,548.017,15.593,10.9,89.513,17.543,12.851,830.743,15.134,10.442,103.931,17.399,12.707
2459271.734,2459271.734,201.983,16.688,11.979,544.408,15.61,10.9,85.28,17.586,12.876,813.456,15.151,10.442,105.33,17.379,12.669
2459271.734,2459271.734,198.892,16.694,11.98,535.163,15.615,10.9,88.274,17.558,12.843,815.211,15.149,10.435,104.25,17.394,12.679
2459271.735,2459271.735,196.311,16.709,11.995,536.942,15.614,10.9,89.933,17.519,12.805,812.907,15.143,10.429,105.555,17.38,12.666
2459271.735,2459271.735,201.844,16.679,12.004,554.316,15.575,10.9,93.133,17.501,12.826,836.6,15.117,10.442,108.436,17.338,12.663
2459271.736,2459271.735,201.547,16.713,12.003,536.354,15.61,10.9,92.573,17.533,12.823,817.446,15.143,10.433,103.849,17.381,12.671
2459271.736,2459271.736,196.228,16.718,12.017,546.503,15.601,10.9,89.263,17.556,12.855,844.686,15.14,10.439,104.976,17.41,12.709
2459271.737,2459271.736,195.856,16.719,12.025,554.266,15.594,10.9,89.365,17.534,12.84,807.099,15.137,10.443,107.341,17.373,12.679
2459271.737,2459271.737,197.977,16.71,12.01,536.752,15.6,10.9,93.233,17.518,12.818,822.257,15.149,10.449,103.947,17.407,12.708
2459271.737,2459271.737,199.677,16.706,12.009,558.024,15.596,10.9,90.241,17.56,12.864,813.546,15.134,10.438,104.983,17.365,12.668
2459271.738,2459271.738,197.436,16.71,12.006,551.654,15.604,10.9,90.695,17.518,12.814,815.691,15.147,10.443,108.251,17.361,12.657
2459271.738,2459271.738,196.45,16.718,12.004,541.393,15.614,10.9,88.035,17.55,12.835,807.12,15.151,10.436,107.399,17.384,12.67
2459271.739,2459271.739,195.09,16.725,12.012,546.122,15.612,10.9,90.396,17.535,12.823,809.238,15.154,10.441,105.114,17.396,12.684
2459271.739,2459271.739,195.067,16.748,12.032,542.159,15.616,10.9,87.717,17.567,12.851,812.183,15.153,10.437,102.827,17.396,12.68
2459271.74,2459271.739,193.426,16.727,12.021,547.522,15.606,10.9,90.959,17.522,12.816,800.64,15.147,10.442,104.863,17.384,12.678
2459271.74,2459271.74,193.211,16.735,12.027,536.103,15.608,10.9,89.286,17.545,12.838,795.925,15.151,10.443,105.641,17.386,12.678
2459271.74,2459271.74,192.378,16.73,12.02,546.312,15.611,10.9,92.93,17.512,12.802,803.655,15.15,10.439,110.1,17.345,12.635
2459271.741,2459271.741,187.21,16.741,12.017,533.495,15.624,10.9,92.375,17.51,12.787,806.081,15.153,10.43,105.303,17.385,12.662
2459271.741,2459271.741,192.002,16.755,12.045,544.698,15.61,10.9,91.366,17.538,12.829,798.436,15.153,10.443,107.155,17.364,12.654
2459271.742,2459271.742,190.091,16.754,12.052,537.393,15.602,10.9,87.396,17.575,12.873,804.318,15.15,10.448,109.272,17.366,12.664
2459271.742,2459271.742,187.577,16.765,12.057,530.915,15.608,10.9,90.38,17.517,12.809,790.099,15.162,10.454,106.849,17.35,12.642
2459271.743,2459271.742,194.119,16.751,12.029,527.161,15.622,10.9,89.407,17.561,12.839,809.57,15.159,10.437,101.509,17.421,12.699
2459271.743,2459271.743,192.37,16.743,12.028,531.732,15.615,10.9,88.798,17.56,12.845,810.009,15.145,10.43,104.134,17.372,12.657
2459271.744,2459271.743,189.367,16.755,12.028,521.255,15.627,10.9,92.914,17.524,12.797,797.108,15.149,10.422,101.765,17.425,12.698
2459271.744,2459271.744,189.73,16.752,12.039,533.421,15.612,10.9,90.911,17.535,12.823,771.239,15.162,10.45,103.595,17.396,12.683
2459271.744,2459271.744,187.438,16.757,12.036,529.11,15.622,10.9,89.649,17.539,12.818,775.706,15.161,10.439,103.536,17.403,12.681
2459271.745,2459271.745,186.425,16.759,12.046,535.944,15.613,10.9,87.656,17.562,12.85,802.684,15.158,10.445,103.531,17.395,12.682
2459271.745,2459271.745,188.889,16.783,12.057,528.857,15.626,10.9,87.204,17.573,12.847,795.851,15.162,10.436,103.692,17.406,12.681
2459271.746,2459271.746,180.124,16.776,12.054,526.089,15.623,10.9,88.612,17.538,12.815,791.52,15.161,10.438,107.092,17.394,12.671
2459271.746,2459271.746,186.518,16.78,12.061,521.332,15.62,10.9,86.516,17.576,12.856,792.52,15.159,10.439,101.836,17.401,12.681
2459271.747,2459271.746,183.373,16.78,12.057,533.08,15.623,10.9,88.139,17.561,12.838,791.653,15.16,10.437,101.667,17.399,12.676
2459271.747,2459271.747,186.619,16.769,12.04,519.004,15.629,10.9,83.038,17.609,12.879,796.211,15.164,10.434,101.042,17.401,12.671
2459271.747,2459271.747,186.247,16.784,12.051,536.513,15.633,10.9,89.985,17.532,12.799,786.442,15.164,10.432,102.539,17.429,12.696
2459271.748,2459271.748,179.732,16.8,12.074,526.429,15.626,10.9,88.248,17.558,12.831,791.036,15.168,10.442,102.916,17.403,12.677
2459271.748,2459271.748,182.724,16.79,12.068,524.199,15.622,10.9,85.655,17.571,12.849,781.764,15.164,10.442,104.395,17.413,12.691
2459271.749,2459271.749,180.089,16.779,12.064,532.408,15.615,10.9,86.636,17.571,12.855,780.892,15.165,10.45,102.182,17.409,12.694
2459271.749,2459271.749,181.367,16.782,12.054,521.897,15.628,10.9,86.332,17.556,12.828,779.946,15.166,10.438,104.083,17.396,12.668
2459271.75,2459271.749,173.308,16.82,12.091,522.174,15.629,10.9,87.655,17.558,12.829,787.181,15.161,10.432,104.205,17.398,12.669
2459271.75,2459271.75,178.923,16.816,12.092,530.656,15.625,10.9,84.629,17.603,12.879,794.529,15.161,10.437,104.404,17.378,12.654
2459271.751,2459271.75,177.897,16.801,12.069,510.318,15.632,10.9,84.836,17.603,12.871,770.246,15.174,10.443,103.011,17.399,12.667
2459271.751,2459271.751,178.699,16.803,12.068,517.257,15.635,10.9,86.187,17.602,12.867,774.004,15.167,10.432,97.319,17.448,12.713
2459271.751,2459271.751,174.5,16.822,12.081,515.214,15.642,10.9,82.702,17.603,12.861,779.191,15.176,10.435,102.124,17.41,12.668
2459271.752,2459271.752,173.472,16.844,12.123,523.483,15.621,10.9,84.702,17.588,12.867,791.452,15.169,10.448,98.557,17.428,12.707
2459271.752,2459271.752,175.727,16.821,12.07,516.036,15.651,10.9,87.865,17.554,12.803,757.779,15.172,10.421,101.697,17.402,12.651
2459271.753,2459271.753,176.415,16.824,12.078,511.401,15.647,10.9,83.396,17.61,12.863,774.081,15.172,10.425,103.167,17.403,12.657
2459271.753,2459271.753,175.541,16.838,12.094,515.799,15.644,10.9,83.092,17.588,12.844,768.892,15.173,10.428,102.671,17.391,12.647
2459271.754,2459271.753,169.418,16.848,12.112,522.734,15.636,10.9,82.072,17.621,12.885,787.67,15.168,10.432,106.305,17.395,12.659
2459271.754,2459271.754,168.86,16.85,12.111,515.804,15.639,10.9,85.715,17.58,12.841,761.509,15.167,10.428,99.524,17.435,12.696
2459271.754,2459271.754,175.058,16.829,12.087,516.366,15.642,10.9,82.799,17.603,12.861,769.528,15.167,10.424,106.968,17.366,12.624
2459271.755,2459271.755,169.021,16.846,12.088,508.806,15.658,10.9,84.318,17.592,12.834,787.433,15.18,10.422,103.747,17.38,12.622
2459271.755,2459271.755,172.958,16.821,12.08,535.081,15.641,10.9,84.384,17.597,12.856,772.432,15.172,10.431,100.128,17.41,12.669
2459271.756,2459271.756,171.764,16.845,12.117,516.632,15.628,10.9,87.677,17.549,12.821,774.064,15.177,10.449,101.398,17.406,12.678
2459271.756,2459271.756,168.252,16.864,12.119,516.524,15.645,10.9,84.087,17.584,12.839,775.971,15.179,10.434,102.662,17.395,12.65
2459271.757,2459271.756,169.628,16.858,12.122,514.839,15.636,10.9,83.753,17.586,12.85,773.744,15.172,10.436,100.206,17.414,12.677
2459271.757,2459271.757,167.939,16.84,12.101,521.713,15.639,10.9,87.965,17.557,12.818,777.878,15.172,10.434,104.857,17.364,12.625
2459271.758,2459271.757,163.566,16.868,12.124,507.004,15.643,10.9,84.889,17.57,12.827,777.832,15.184,10.441,99.855,17.419,12.675
2459271.758,2459271.758,168.287,16.858,12.106,509.175,15.652,10.9,87.318,17.545,12.794,767.745,15.173,10.421,102.934,17.397,12.645
2459271.758,2459271.758,167.772,16.864,12.122,515.682,15.642,10.9,83.266,17.567,12.825,767.222,15.187,10.445,102.421,17.413,12.671
2459271.759,2459271.759,165.413,16.877,12.135,507.184,15.642,10.9,88.785,17.542,12.8,761.033,15.185,10.443,99.819,17.403,12.661
2459271.759,2459271.759,159.746,16.886,12.135,498.925,15.65,10.9,84.827,17.571,12.82,767.354,15.176,10.425,95.394,17.443,12.692
2459271.76,2459271.76,167.414,16.861,12.103,505.349,15.658,10.9,88.557,17.537,12.778,773.33,15.185,10.427,99.759,17.418,12.66
2459271.76,2459271.76,165.435,16.881,12.128,501.362,15.653,10.9,85.51,17.579,12.826,750.723,15.186,10.432,96.893,17.455,12.702
2459271.761,2459271.76,162.019,16.885,12.121,505.935,15.663,10.9,82.124,17.599,12.836,760.999,15.179,10.415,99.623,17.424,12.66
2459271.761,2459271.761,165.995,16.869,12.118,494.669,15.651,10.9,83.99,17.585,12.834,761.108,15.194,10.443,104.428,17.385,12.634
2459271.761,2459271.761,163.318,16.878,12.127,507.649,15.651,10.9,84.758,17.569,12.818,748.359,15.187,10.435,99.878,17.411,12.66
2459271.762,2459271.762,162.122,16.89,12.134,496.416,15.656,10.9,86.722,17.562,12.806,742.965,15.19,10.434,97.324,17.444,12.688
2459271.762,2459271.762,160.643,16.9,12.143,500.078,15.657,10.9,83.799,17.592,12.835,748.402,15.199,10.442,97.815,17.445,12.688
2459271.763,2459271.763,162.813,16.892,12.139,504.59,15.653,10.9,80.371,17.622,12.869,748.561,15.201,10.448,96.98,17.422,12.669
2459271.763,2459271.763,166.03,16.866,12.126,501.843,15.64,10.9,86.737,17.546,12.805,759.995,15.185,10.444,97.802,17.434,12.694
2459271.764,2459271.763,158.377,16.907,12.148,501.352,15.659,10.9,86.119,17.553,12.795,753.542,15.202,10.443,99.444,17.415,12.656
2459271.764,2459271.764,160.569,16.907,12.154,512.316,15.652,10.9,80.309,17.619,12.866,753.533,15.199,10.447,99.998,17.421,12.668
2459271.765,2459271.764,155.391,16.929,12.161,496.576,15.668,10.9,81.75,17.617,12.849,737.772,15.201,10.433,98.36,17.44,12.672
2459271.765,2459271.765,153.004,16.924,12.172,502.317,15.652,10.9,83.82,17.6,12.848,747.834,15.187,10.435,98.807,17.401,12.649
2459271.765,2459271.765,157.209,16.917,12.131,487.541,15.687,10.9,82.589,17.601,12.814,735.091,15.207,10.42,97.063,17.436,12.649
